user_id,name,email,age
00234e50-34eb-4ce2-94ec-26e3fa749796,Dan Altenwerth Jr.,Molly59@gmail.com,67
006bfede-724d-4cdd-a2a6-59700f40d0da,Glenda Wisozk,Miriam21@gmail.com,119
006e1f7f-90c2-45ad-8c1d-1275d594cc88,Daniel Fahey IV,Delia.Lesch11@hotmail.com,49
00af05c9-0a86-419e-8c2d-5fb7e899ae1c,Ronnie Bechtelar,Sandra19@yahoo.com,22
00cc08cc-62f4-4da1-b8e4-f5d9ef5dbbd4,Alma Bechtelar,Shelly_Balistreri22@hotmail.com,102
01fa0f88-7091-42d1-9d08-881b36493df6,Sharon Medhurst,Tyrell_Krajcik@hotmail.com,34
02b7f49c-05d2-48f0-9a6b-d46bcfbbd68d,Myron Mertz,MyronMertz22@gmail.com,41
0378b399-34ea-4a01-a7c4-14bc749b52ef,Latasha Morar,LatashaMorar@outlook.com,54
04a3e40e-1c61-45e2-bf04-e7e0e48e7d9a,Jason Dooley,JasonD@gmail.com,77
0501bff7-9c50-476c-b556-9ceac7bbbd19,Tina Ritchie,TinaR@aol.com,29
